"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13436","Login tests with data from Excel","","2026-01-31","passed","2026-01-31","","loginwithxls.spec.js","",""
"","5563","Login Test - chand7272@gmail.com - Row 2","","2026-02-02","passed","2026-02-02","","loginwithxls.spec.js","",""
"","303","Verify order creation API","","2026-02-02","passed","2026-02-02","","ApiverificationE2E.spec.js","",""
"","8187","Ui basic test with more fields validation","","2026-02-02","passed","2026-02-02","","UIbasictest.spec.js","",""
"","7707","UI basic test with child window handlers","","2026-02-02","passed","2026-02-02","","UIbasictest.spec.js","",""
"","1167","@API WebAPi Itegration with Login and order details !!","","2026-02-02","passed","2026-02-02","","NetworkPart1.spec.js","",""
"","10062","download file","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
"","1932","@Web Read web table data from W3Schools","","2026-02-02","passed","2026-02-02","","Webtable.spec.js","",""
"","15239","Client App test without PO","","2026-02-02","passed","2026-02-02","","ClientAppTest.spec.js","",""
"","3098","dropdown handling","","2026-02-02","passed","2026-02-02","","UIbasictest.spec.js","",""
"","17767","@Web sales site for product validation for Today is a good day Framed","","2026-02-02","passed","2026-02-02","","onlinesalesTest.spec.js","",""
"","9890","Ui basic test with login","","2026-02-02","passed","2026-02-02","","UIbasictest.spec.js","",""
"","1304","Client App test on another way","","2026-02-02","passed","2026-02-02","","WebApiPart_1.spec.js","",""
"","5146","@API Security test request intercept","","2026-02-02","passed","2026-02-02","","NetworkTest2.spec.js","",""
"","7329","Client App test on another way","","2026-02-02","passed","2026-02-02","","WebApiPart2.spec.js","",""
"","18446","@Web sales site for product validation for Hummingbird printed t-shirt","","2026-02-02","passed","2026-02-02","","onlinesalesTest.spec.js","",""
"","18756","@Web sales site for product validation for Mug The best is yet to come","","2026-02-02","passed","2026-02-02","","onlinesalesTest.spec.js","",""
"","3488","Login Test - chand7272@gmail.com - Row 1","","2026-02-02","passed","2026-02-02","","loginwithxls.spec.js","",""
"","2245","Client App login via storageState and check visibility of product !!","","2026-02-02","passed","2026-02-02","","WebApiPart2.spec.js","",""
"","2748","Screenshot & Visual comparision","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
"","2975","Handling dynamic webtable","","2026-02-02","passed","2026-02-02","","dynamicwebtable.spec.js","",""
"","14015","keyboardaction.spec.js","","2026-02-02","passed","2026-02-02","","keyboardaction.spec.js","",""
"","3021","visual","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
"","3112","Mutltile windows handlers","","2026-02-02","passed","2026-02-02","","UIbasictest.spec.js","",""
"","13665","Client App test on another way","","2026-02-02","passed","2026-02-02","","ClientAppTestAnotherWay.spec.js","",""
"","4449","Handling alert for confiration button","","2026-01-29","passed","2026-01-29","","MoreValidations.spec.js","",""
"","115","E-commerce API flow: Login and Add Product with file upload","","2026-02-02","passed","2026-02-02","","ApiverificationE2E.spec.js","",""
"","2569","Handling alert for confiration button(dismiss)","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
"","1394","@Web Match ProductName in web table","","2026-02-02","passed","2026-02-02","","Webtable.spec.js","",""
"","12243","Client App test","","2026-02-02","passed","2026-02-02","","ClientAppTestPO.spec.js","",""
"","171","seed","","2026-02-02","passed","2026-02-02","Test group","seed.spec.ts","",""
"","193","API 02 - Get all products","","2026-02-02","passed","2026-02-02","","ApiverificationE2E.spec.js","",""
"","2899","Handling All Frames","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
"","4550","@API Network call for abort and print all API request and reponse status","","2026-02-02","passed","2026-02-02","","NetworkTest3.spec.js","",""
"","1320","Locator Type demo","","2026-02-02","passed","2026-02-02","","locatiorTypedemo.spec.js","",""
"","1584","WebAPi Itegration with Login and order details !!","","2026-02-02","passed","2026-02-02","","WebApiPart1.spec.js","",""
"","2645","Alert validation and action","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
"","14509","Upload file","","2026-02-02","passed","2026-02-02","","MoreValidations.spec.js","",""
