"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5440","@API Security test request intercept","chromium","2026-02-21","passed","2026-02-21","","NetworkTest2.spec.js","",""
"","60178","WebAPi Itegration with Login and order details !!","chromium","2026-02-21","broken","2026-02-21","","WebApiPart1.spec.js","",""
"","1720","visual","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","3594","Locator Type demo","chromium","2026-02-21","passed","2026-02-21","","locatiorTypedemo.spec.js","",""
"","13953","Client App test","chromium","2026-02-21","passed","2026-02-21","","ClientAppTestPO.spec.js","",""
"","13249","Client App test without PO","chromium","2026-02-21","passed","2026-02-21","","ClientAppTest.spec.js","",""
"","8489","UI basic test with child window handlers","chromium","2026-02-21","passed","2026-02-21","","UIbasictest.spec.js","",""
"","83","seed","chromium","2026-02-21","passed","2026-02-21","Test group","seed.spec.ts","",""
"","534","E-commerce API flow: Login and Add Product with file upload","chromium","2026-02-21","passed","2026-02-21","","ApiverificationE2E.spec.js","",""
"","15922","@Web sales site for product validation for Mug The best is yet to come","chromium","2026-02-21","passed","2026-02-21","","onlinesalesTest.spec.js","",""
"","775","Verify order creation API","chromium","2026-02-21","passed","2026-02-21","","ApiverificationE2E.spec.js","",""
"","3290","Client App login via storageState and check visibility of product !!","chromium","2026-02-21","passed","2026-02-21","","WebApiPart2.spec.js","",""
"","716","@Web Match ProductName in web table","chromium","2026-02-21","passed","2026-02-21","","Webtable.spec.js","",""
"","5049","Screenshot & Visual comparision","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","809","download file","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","1541","@Web Read web table data from W3Schools","chromium","2026-02-21","passed","2026-02-21","","Webtable.spec.js","",""
"","8326","Ui basic test with login","chromium","2026-02-21","passed","2026-02-21","","UIbasictest.spec.js","",""
"","2259","Handling dynamic webtable","chromium","2026-02-21","passed","2026-02-21","","dynamicwebtable.spec.js","",""
"","15481","@Web sales site for product validation for Hummingbird printed t-shirt","chromium","2026-02-21","passed","2026-02-21","","onlinesalesTest.spec.js","",""
"","4560","Client App test on another way","chromium","2026-02-21","failed","2026-02-21","","WebApiPart_1.spec.js","",""
"","11577","Client App test on another way","chromium","2026-02-21","passed","2026-02-21","","ClientAppTestAnotherWay.spec.js","",""
"","307","API 02 - Get all products","chromium","2026-02-21","passed","2026-02-21","","ApiverificationE2E.spec.js","",""
"","11239","Client App test on another way","chromium","2026-02-21","passed","2026-02-21","","WebApiPart2.spec.js","",""
"","60232","@API WebAPi Itegration with Login and order details !!","chromium","2026-02-21","broken","2026-02-21","","NetworkPart1.spec.js","",""
"","15605","@Web sales site for product validation for Today is a good day Framed","chromium","2026-02-21","passed","2026-02-21","","onlinesalesTest.spec.js","",""
"","6551","Handling All Frames","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","4717","Handling alert for confiration button(dismiss)","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","4080","@API Network call for abort and print all API request and reponse status","chromium","2026-02-21","passed","2026-02-21","","NetworkTest3.spec.js","",""
"","5046","Alert validation and action","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","4812","dropdown handling","chromium","2026-02-21","passed","2026-02-21","","UIbasictest.spec.js","",""
"","3599","Login Test - chand7272@gmail.com - Row 2","chromium","2026-02-21","passed","2026-02-21","","loginwithxls.spec.js","",""
"","871","Upload file","chromium","2026-02-21","passed","2026-02-21","","MoreValidations.spec.js","",""
"","6811","Ui basic test with more fields validation","chromium","2026-02-21","passed","2026-02-21","","UIbasictest.spec.js","",""
"","3370","Login Test - chand7272@gmail.com - Row 1","chromium","2026-02-21","passed","2026-02-21","","loginwithxls.spec.js","",""
"","5901","Mutltile windows handlers","chromium","2026-02-21","passed","2026-02-21","","UIbasictest.spec.js","",""
